диаметр_поршня_Ц1,диаметр_поршня_Ц2,низ_Ц1_перед_доля_рычага,низ_Ц1_зад_доля_рычага,низ_Ц2_перед_доля_рычага,низ_Ц2_зад_доля_рычага,верх_Ц1_перед_x_относительно_оси_ступицы_м,верх_Ц1_зад_x_относительно_оси_ступицы_м,верх_Ц2_перед_x_относительно_оси_ступицы_м,верх_Ц2_зад_x_относительно_оси_ступицы_м,верх_Ц1_перед_z_относительно_рамы_м,верх_Ц1_зад_z_относительно_рамы_м,верх_Ц2_перед_z_относительно_рамы_м,верх_Ц2_зад_z_относительно_рамы_м,ход_штока_Ц1_перед_м,ход_штока_Ц1_зад_м,ход_штока_Ц2_перед_м,ход_штока_Ц2_зад_м,объём_ресивера_2,объём_ресивера_3,объём_аккумулятора,давление_Pmin_питание_Ресивер2,давление_Pmin_сброс,давление_Pmid_сброс,давление_Pзаряд_аккумулятора_из_Ресивер3,открытие_дросселя_Ц2_CAP_в_ROD,открытие_дросселя_Ц2_ROD_в_CAP,пружина_масштаб,candidate,score_ring,penalty_ring,az_rms,z_std,roll_rms_deg,pitch_rms_deg,lift,stroke_min,stroke_max,stroke_span_mean,p3_final_bar_abs,pacc_final_bar_abs,pneu_share
0.04,0.045,0.78,0.78,0.68,0.82,0.08,0.05,-0.1,-0.06,0.52,0.52,0.52,0.58,0.25,0.25,0.28,0.22,0.002,0.003,0.003,455300.0,601325.0,851325.0,911325.0,0.18,0.16,0.14,34,,8.166575854511885,2.3022844047646536,0.04738448273653441,5.180515993877588,2.098747000358334,,0.0006684829097623746,1.0,0.7652400273539905,8.406397261283786,3.049976193619905,0.14901090361885352
0.04,0.045,0.85,0.85,0.82,0.68,0.08,0.05,-0.03,-0.1,0.52,0.52,0.45,0.52,0.22,0.28,0.25,0.28,0.001,0.003,0.003,505300.0,551325.0,851325.0,851325.0,0.26,0.1,0.16,35,,8.200000000000003,2.6072166865650925,0.04880032097401889,5.17554301044117,2.886264013959288,,0.0,1.0,0.856968231621913,8.441068944477426,3.7074000111052636,0.15387773313137496
0.045,0.045,0.85,0.85,0.82,0.82,0.08,0.05,-0.1,-0.06,0.45,0.58,0.58,0.45,0.28,0.28,0.22,0.22,0.001,0.002,0.002,505300.0,551325.0,851325.0,911325.0,0.18,0.16,0.12,36,,7.696926517127581,2.0506844317566446,0.04320729237311976,5.487420797004387,2.2236838888784227,,0.010061469657448446,1.0,0.7916382769797455,8.382908879266258,3.1917700557622593,0.18214790475227674
0.045,0.05,0.85,0.78,0.82,0.55,0.02,0.05,-0.03,-0.03,0.52,0.58,0.58,0.52,0.25,0.22,0.25,0.22,0.002,0.002,0.002,505300.0,551325.0,781325.0,781325.0,0.26,0.1,0.12,37,,8.200000000000003,1.800688315204429,0.04239729342984819,5.720952400559359,2.496338705592695,,0.0,1.0,0.8097680145878092,7.7896720476267305,4.121823766461566,0.18464842585505556
0.04,0.05,0.78,0.92,0.82,0.82,0.05,0.02,-0.03,-0.1,0.45,0.58,0.45,0.45,0.22,0.28,0.28,0.28,0.003,0.003,0.003,455300.0,551325.0,781325.0,911325.0,0.36,0.1,0.14,38,,8.200000000000003,2.439434556088202,0.04666254707662892,5.119623318297167,2.678990258160465,,0.0,1.0,0.8071139009792595,7.753468214746259,3.081606174054956,0.1785214395824915
0.04,0.05,0.85,0.92,0.55,0.82,0.02,0.05,-0.03,-0.03,0.58,0.45,0.45,0.58,0.22,0.22,0.22,0.28,0.002,0.002,0.003,405300.0,651325.0,851325.0,851325.0,0.26,0.16,0.14,39,,7.07061914483166,2.451914914765821,0.0458960565667876,5.080601885461888,2.439358462531745,,0.02258761710336688,1.0,0.7776585470497865,8.381085956433832,5.258274236718096,0.18517880060813577
0.05,0.05,0.78,0.85,0.82,0.82,0.05,0.08,-0.03,-0.06,0.52,0.52,0.45,0.45,0.22,0.25,0.25,0.22,0.001,0.003,0.003,505300.0,551325.0,851325.0,911325.0,0.36,0.1,0.14,40,,4.200000000000004,2.3745321411432805,0.04334742194364687,5.371115722271259,2.272478549517198,,0.09275224232462152,1.0,0.7791612889904629,8.853502523068514,3.9108283069122765,0.22491014493436634
0.04,0.055,0.92,0.92,0.68,0.55,0.08,0.05,-0.06,-0.1,0.52,0.45,0.52,0.45,0.25,0.28,0.25,0.28,0.001,0.003,0.003,455300.0,551325.0,851325.0,911325.0,0.36,0.16,0.14,41,,8.200000000000003,2.450965881230406,0.05045378340700462,5.459278759828545,3.0406079364804617,,0.0,1.0,0.805666436366975,8.449445751258011,3.0649207164844037,0.18579578166086125
0.045,0.045,0.92,0.92,0.82,0.82,0.05,0.02,-0.1,-0.1,0.45,0.45,0.52,0.58,0.28,0.22,0.28,0.22,0.003,0.003,0.002,505300.0,551325.0,781325.0,781325.0,0.36,0.1,0.16,42,,7.796011470401462,2.5611780368215187,0.046797850194038274,5.081094127664832,2.3364620025204936,,0.00807977059197083,1.0,0.8343671618209874,7.799512851682678,4.176445939795382,0.1772961399886981
0.05,0.055,0.92,0.78,0.55,0.55,0.05,0.08,-0.06,-0.06,0.58,0.58,0.52,0.45,0.25,0.28,0.22,0.28,0.001,0.0015,0.003,455300.0,601325.0,851325.0,911325.0,0.36,0.16,0.12,43,,8.06892246387861,1.8681638379147933,0.0423831469973004,5.697365448098858,2.900379324079151,,0.0026215507224278518,1.0,0.758036300986492,8.378638810189182,3.993052801137145,0.21368304481718395
0.045,0.045,0.85,0.92,0.68,0.55,0.02,0.05,-0.06,-0.1,0.52,0.58,0.52,0.58,0.25,0.25,0.25,0.28,0.001,0.003,0.002,405300.0,651325.0,781325.0,911325.0,0.36,0.16,0.12,44,,7.120350187592702,2.290461981245785,0.051872308316715306,5.486930304289558,2.2446782477319305,,0.021592996248146035,1.0,0.7932492673160849,7.831212451366069,3.6968423609469885,0.14985572480926063
0.05,0.045,0.92,0.78,0.55,0.82,0.02,0.02,-0.06,-0.06,0.45,0.58,0.45,0.58,0.28,0.22,0.28,0.28,0.002,0.003,0.003,505300.0,551325.0,851325.0,781325.0,0.36,0.24,0.12,45,,7.833357272800833,1.871912756107833,0.043217935529953046,6.038709565926367,1.7982560356720758,,0.007332854543983411,1.0,0.7692735270961253,7.806119244832004,4.611401457624941,0.16218917560563464
